favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
65728,Twitter for iPhone,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",,False,Sat Oct 21 22:51:57 +0000 2017,16587,921871707564101632
45165,Twitter for iPhone,"Susan Rice, the former National Security Advisor to President Obama, is refusing to testify before a Senate Subcommittee next week on.....",,False,Thu May 04 10:40:33 +0000 2017,13520,860081707315232771
77701,Twitter for iPhone,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",,False,Tue Feb 20 13:38:49 +0000 2018,16074,965943827931549696
202280,Twitter for iPhone,#StandForOurAnthem,,False,Mon Sep 25 13:02:27 +0000 2017,71603,912301271817838593
56072,Twitter for iPhone,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side atta… https://t.co/wcjWahjCHF",,False,Wed Nov 01 21:14:33 +0000 2017,11819,925833462426292226
97092,Twitter for iPhone,I will be going to Texas and Louisiana tomorrow with First Lady. Great progress being made! Spending weekend working at White House.,,False,Sat Sep 02 00:03:00 +0000 2017,16406,903770196388831233
140139,Twitter for iPhone,"....to President of the United States (on my first try). I think that would qualify as not smart, but genius....and… https://t.co/X3UO2xDvEv",,False,Sat Jan 06 12:30:51 +0000 2018,33285,949619270631256064
62267,Twitter for iPhone,Just arrived in West Virginia for a MAKE AMERICA GREAT AGAIN rally in Huntington at 7:00pmE. Massive crowd expected - tune in! #MAGA🇺🇸,,False,Thu Aug 03 22:52:16 +0000 2017,10281,893243147580473344
72787,Twitter for iPhone,"Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!",,False,Fri Nov 03 14:45:56 +0000 2017,13429,926460439000698880
56028,Twitter for iPad,"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp",,False,Wed Feb 14 19:11:32 +0000 2018,11226,963853233000275969
122321,Twitter for iPhone,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",,False,Sun Oct 22 12:08:47 +0000 2017,26695,922072236592435200
64306,Twitter for iPhone,My great honor to host the 2017 back-to-back #StanleyCup Champion Pittsburgh Penguins at the WH with @FLOTUS today!… https://t.co/zLyNF8N3cz,,False,Tue Oct 10 23:29:47 +0000 2017,13584,917894963832246272
81752,Twitter for Android,"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",,False,Sun Jan 08 02:07:09 +0000 2017,16405,817915516018892805
113944,Twitter for iPhone,Toyota &amp; Mazda to build a new $1.6B plant here in the U.S.A. and create 4K new American jobs. A great investment in American manufacturing!,,False,Fri Aug 04 10:02:24 +0000 2017,25050,893411790868160514
81999,Twitter Web Client,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3",,False,Tue Nov 14 05:20:31 +0000 2017,16251,930304414564352000
81734,Twitter for iPhone,"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad… https://t.co/SdLj0DaHLu",,False,Mon Mar 05 11:47:56 +0000 2018,19030,970626966004162560
80948,Twitter for iPhone,"Despite the Aluminum Tariffs, Aluminum prices are DOWN 4%. People are surprised, I’m not! Lots of money coming into… https://t.co/Tiq71ZBkv1",,False,Fri Apr 06 11:11:51 +0000 2018,18908,982214297160839173
117712,Twitter for iPhone,"Feels good to be home after seven months, but the White House is very special, there is no place like it... and the U.S. is really my home!",,False,Tue Aug 15 03:06:52 +0000 2017,19699,897293484884979712
125999,Twitter for iPhone,"Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!",,False,Wed Jan 24 03:54:22 +0000 2018,31281,956012274942128128
153334,Twitter for iPhone,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO,,False,Fri Feb 10 23:24:51 +0000 2017,37891,830195857530183684
135747,Twitter for iPhone,....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you,,False,Wed Jul 26 13:08:21 +0000 2017,40480,890197095151546369
87843,Twitter for iPhone,"Last night, it was my great honor to host America’s senior defense and military leaders for dinner at the White Hou… https://t.co/sa6xgJOMsX",,False,Tue Apr 10 13:30:35 +0000 2018,19444,983698762760704000
152959,Twitter for iPhone,"...NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country. League should back U.S.",,False,Sun Sep 24 11:13:11 +0000 2017,32191,911911385176723457
68410,Media Studio,"We will push onward to victory w/hope in our hearts, courage in our souls &amp; everlasting pride in each &amp; every one o… https://t.co/yZfeo9Y56X",,False,Tue Aug 22 23:12:04 +0000 2017,15971,900133498723237888
42113,Twitter for iPhone,"...It's old electrical grid, which was in terrible shape, was devastated. Much of the Island was destroyed, with billions of dollars....",,False,Tue Sep 26 00:50:40 +0000 2017,8722,912479500511965184
47689,Twitter for iPhone,A great honor to sign the Veterans Appeals Improvement &amp; Modernization Act into law w/ @AmericanLegion @SecShulkin.… https://t.co/f8rF5fuNUW,,False,Wed Aug 23 22:41:19 +0000 2017,10703,900488148194516992
96315,Twitter for iPhone,"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ",,False,Tue Jan 24 17:04:01 +0000 2017,15687,823939422743830528
94117,Twitter for iPhone,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!,,False,Wed Mar 29 12:21:02 +0000 2017,19351,847061031293779969
