favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
70918,Twitter for iPhone,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",,False,Sat Oct 21 23:57:41 +0000 2017,13304,921888248707846144
87517,Twitter for iPhone,Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used… https://t.co/sk2TeLbqjo,,False,Sat Jan 06 04:32:08 +0000 2018,23317,949498795074736129
116243,Twitter for iPhone,Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is n… https://t.co/YaPbD8cjHe,,False,Mon Jan 15 20:28:15 +0000 2018,29698,953000902331453442
100729,Twitter for iPhone,"Congress, get ready to do your job - DACA!",,False,Tue Sep 05 12:04:43 +0000 2017,24666,905038986883850240
61901,Twitter for iPhone,The Democrats don't want money from budget going to border wall despite the fact that it will stop drugs and very bad MS 13 gang members.,,False,Sun Apr 23 15:42:07 +0000 2017,15618,856171332521820165
106708,Twitter for iPhone,....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and ot… https://t.co/NTnUcZxrle,,False,Thu Feb 22 13:05:18 +0000 2018,25684,966660169194229761
111877,Twitter for iPhone,Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak ab… https://t.co/OmcorwQCkR,,False,Fri Dec 01 00:36:40 +0000 2017,28076,936393574433939456
106604,Twitter for Android,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,,False,Thu Feb 02 11:34:36 +0000 2017,31108,827118012784373760
110009,Twitter for iPhone,"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basi… https://t.co/EHq72J2QaP",,False,Sun Dec 31 22:00:21 +0000 2017,32446,947588263103139841
37774,Twitter for iPhone,It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h,,False,Tue Mar 28 20:57:17 +0000 2017,6840,846828561491202048
76825,Twitter for iPhone,"“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!",,False,Sun Feb 25 00:56:35 +0000 2018,19471,967563946063523840
66130,Media Studio,"We will continue to follow developments in Charlottesville, and will provide whatever assistance is needed. We are… https://t.co/LvBujBILmt",,False,Sat Aug 12 21:49:47 +0000 2017,14876,896488914877165569
63153,Twitter for iPhone,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",,False,Mon May 29 12:18:52 +0000 2017,12071,869166145894535169
41018,Twitter for iPhone,"See you at 7:00 P.M. tonight Phoenix, Arizona! #MAGA🇺🇸
Tickets: https://t.co/2kUQfKqbsx https://t.co/1w3LVkpESE",,False,Tue Aug 22 20:03:41 +0000 2017,8424,900086092107571200
39232,Twitter for iPhone,Thank you @FLGovScott. https://t.co/rgdU9plvFK,,False,Fri Oct 27 14:33:15 +0000 2017,7987,923920535607828481
65397,Twitter for iPhone,"Thank you! 

“Trump’s Defining Speech” 
WSJ Editorial: https://t.co/YuDgVfRroR https://t.co/T0R4u4IHDJ",,False,Fri Jul 07 21:56:53 +0000 2017,15525,883444736849305600
47171,Twitter Web Client,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru",,False,Tue Nov 14 05:26:45 +0000 2017,8226,930305984077156352
31101,Twitter for iPhone,Joining @SeanHannity tonight at 9pmE on @FoxNews. Enjoy! https://t.co/RCfiJus5Rw,,False,Wed Oct 11 23:56:08 +0000 2017,5432,918263984029085697
56861,Twitter for iPhone,I know Rand Paul and I think he may find a way to get there for the good of the Party!,,False,Sat Sep 23 11:04:21 +0000 2017,10059,911546774267006976
56013,Twitter for iPhone,The Democrats only want to increase taxes and obstruct. That's all they are good at!,realDonaldTrump,False,Mon Oct 16 12:21:49 +0000 2017,12394,919901190376259586
56470,Twitter for iPhone,"Today in Bedminster I signed the Harry W. Colmery Veterans Educational Assistance Act of 2017, joined by… https://t.co/tDc6UQLbRI",,False,Wed Aug 16 21:35:16 +0000 2017,13243,897934811909636096
68128,Media Studio,Congratulations to #TeamUSA🇺🇸🏆on your great @PresidentsCup victory! https://t.co/fZeP1e9mo7,,False,Mon Oct 02 01:22:34 +0000 2017,11790,914661855947366406
52125,Twitter for iPhone,...They have been in our country for many years through no fault of their own - brought in by parents at young age. Plus BIG border security,,False,Thu Sep 14 10:35:41 +0000 2017,10530,908278070611779585
102557,Twitter for Android,Just named General H.R. McMaster National Security Advisor.,,False,Mon Feb 20 21:00:37 +0000 2017,15145,833783438922629125
68590,Media Studio,"We will push onward to victory w/hope in our hearts, courage in our souls &amp; everlasting pride in each &amp; every one o… https://t.co/yZfeo9Y56X",,False,Tue Aug 22 23:12:04 +0000 2017,16056,900133498723237888
72168,Twitter Ads,"It was a great honor to welcome the President of Turkey, Recep Tayyip Erdoğan, to the @WhiteHouse today! https://t.co/4BWjOCgnNv",,False,Tue May 16 19:38:42 +0000 2017,18547,864565791076872192
